School Name,Borough,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Zip Code,address_full2,Lat,Lon
P.S. 43 - QUEENS,Q,27,SANDY-INTERIOR/HEATING/FLOOD/SHINGLE ROOF/CLIMATE,15000000,CIP,Q043,160 BEACH 29TH STREET,Queens,11691,"160 BEACH 29TH STREET, Queens 11691",40.59371,-73.76152
P.S. 45 - QUEENS,Q,27,FY15 RESO A AUDITORIUM UPGRADE,188000,CIP,Q045,126-28 150 STREET,Queens,11436,"126-28 150 STREET, Queens 11436",40.67230967,-73.78830862
P.S. 52 - QUEENS,Q,29,ELECTRICAL LIGHTING FIXTURES,657500,CIP,Q052,178-37 146 TERRACE,Queens,11434,"178-37 146 TERRACE, Queens 11434",40.67213821,-73.7734375
P.S. 52 - QUEENS,Q,29,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,923949,CIP,Q052,178-37 146 TERRACE,Queens,11434,"178-37 146 TERRACE, Queens 11434",40.67213821,-73.7734375
P.S. 63 - QUEENS,Q,27,FY15 RESO A AUDITORIUM UPGRADE,331000,CIP,Q063,90-15 SUTTER AVENUE,Queens,11417,"90-15 SUTTER AVENUE, Queens 11417",40.67698,-73.84679
P.S. 63 - QUEENS,Q,27,WATER PENETRATION/EXT MASONRY/PARAPETS/ROOFS,4368000,CIP,Q063,90-15 SUTTER AVENUE,Queens,11417,"90-15 SUTTER AVENUE, Queens 11417",40.67698,-73.84679
P.S. 64 - QUEENS,Q,27,FY16 RESO A AUDITORIUM,229777,CIP,Q064,82-01 101 AVENUE,Queens,11416,"82-01 101 AVENUE, Queens 11416",40.68122043,-73.85689167
J.H.S. 72 - QUEENS,Q,28,FY13 RESO A PLAYGROUND REDEVELOPMENT,2277000,CIP,Q072,133-25 GUY R BREWER BOULEVARD,Queens,11434,"133-25 GUY R BREWER BOULEVARD, Queens 11434",40.6561,-73.7674
I.S. 73 - QUEENS,Q,24,LOW VOLT ELECTRICAL SYSTEMS,925000,CIP,Q073,70-02 54 AVENUE,Queens,11378,"70-02 54 AVENUE, Queens 11378",40.72849,-73.8933
I.S. 74 - QUEENS,Q,26,FY16 RESO A AUDITORIUM UPGRADE,192500,CIP,Q074,61-15 OCEANIA STREET,Queens,11364,"61-15 OCEANIA STREET, Queens 11364",40.74529215,-73.76744303
Q075 SPED - QUEENS,Q,24,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,4596000,CIP,Q075,16-66 HANCOCK STREET,Queens,11385,"16-66 HANCOCK STREET, Queens 11385",40.69715,-73.90684
P.S. 79 - QUEENS,Q,25,RPZ VALVE,377000,CIP,Q079,147-27 15 DRIVE,Queens,11357,"147-27 15 DRIVE, Queens 11357",40.78590344,-73.8174694
P.S. 85 - QUEENS,Q,30,RPZ VALVES/LOW VOLTAGE/ELECTRICAL UPG,1658786,CIP,Q085,23-70 31 STREET,Queens,11105,"23-70 31 STREET, Queens 11105",40.77270365,-73.91506817
P.S. 98 - QUEENS,Q,26,WATER PENETRATION,549000,CIP,Q098,40-20 235 STREET,Queens,11363,"40-20 235 STREET, Queens 11363",40.76930693,-73.74941486
P.S. 101 - QUEENS,Q,28,FY15 RESO A AUDITORIUM UPGRADE,459000,CIP,Q101,2 RUSSELL PLACE,Queens,11375,"2 RUSSELL PLACE, Queens 11375",40.715559,-73.843384
P.S. 102 - QUEENS,Q,24,ADA UPGRADE,2777000,CIP,Q102,55-24 VAN HORN STREET,Queens,11373,"55-24 VAN HORN STREET, Queens 11373",40.73347686,-73.8778888
P.S. 105 - QUEENS,Q,27,SANDY:HEATING/ELEC/FLOOD/AUD/PIPING/HVAC/INT/PAVED,21198000,CIP,Q105,420 BEACH 51 STREET,Queens,11691,"420 BEACH 51 STREET, Queens 11691",40.595899,-73.780985
P.S. 114 - QUEENS,Q,27,SANDY:INT/HEATING/ELEC/FLOOD/CLIM/PLAYGRND/PIPING,14780000,CIP,Q114,134-01 CRONSTON AVE,Queens,11694,"134-01 CRONSTON AVE, Queens 11694",40.57822275,-73.85443042
P.S. 115 - QUEENS,Q,26,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5544000,CIP,Q115,80-51 261 STREET,Queens,11004,"80-51 261 STREET, Queens 11004",40.74406932,-73.70979771
P.S. 116 - QUEENS,Q,29,EXT MASONRY/ROOFS/CONCRETE ROOF DECK/PARAPETS,8800000,CIP,Q116,107-25 WREN PLACE,Queens,11433,"107-25 WREN PLACE, Queens 11433",40.7005132,-73.78185245
P.S. 121 - QUEENS,Q,28,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,968100,CIP,Q121,126-10 109 AVENUE,Queens,11420,"126-10 109 AVENUE, Queens 11420",40.68400524,-73.81583268
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000,CIP,Q123,145-01 119 AVENUE,Queens,11436,"145-01 119 AVENUE, Queens 11436",40.6789,-73.79555
I.S. 126 - QUEENS,Q,30,FY16 RESO A PLAYGROUND REDEVELOPMENT,172250,CIP,Q126,31-51 21 STREET,Queens,11106,"31-51 21 STREET, Queens 11106",40.76601,-73.92999
P.S. 139 - QUEENS,Q,28,WATER PENETRATION/ROOFS,1456000,CIP,Q139,93-06 63 DRIVE,Queens,11374,"93-06 63 DRIVE, Queens 11374",40.72799,-73.86255
Q752 SPED - QUEENS,Q,28,ELECTRICAL LIGHTING FIXTURES,991000,CIP,Q142,142-10 LINDEN BLVD,Queens,11436,"142-10 LINDEN BLVD, Queens 11436",40.68415893,-73.80131437
I.S. 145 - QUEENS,Q,30,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,8497000,CIP,Q145,33-34 80 STREET,Queens,11372,"33-34 80 STREET, Queens 11372",40.75438,-73.88751
P.S. 151 - QUEENS,Q,30,WATER INFILTRATION/ROOFS/PARAPETS/EXT MASONRY,5182000,CIP,Q151,50-05 31 AVENUE,Queens,11377,"50-05 31 AVENUE, Queens 11377",40.7574762,-73.90876426
J.H.S. 157 - QUEENS,Q,28,FY16 RESO A ROOM CONVERSIONS / PART,229500,CIP,Q157,63-55 102ND STREET,Queens,11374,"63-55 102ND STREET, Queens 11374",40.73228904,-73.85377473
P.S. 160 - QUEENS,Q,28,CHIMNEY/ROOFS/PARAPETS/FLOOD,9370000,CIP,Q160,109-59 INWOOD STREET,Queens,11435,"109-59 INWOOD STREET, Queens 11435",40.68811445,-73.80035683
P.S. 162 - QUEENS,Q,26,PARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,8630000,CIP,Q162,201-02 53 AVENUE,Queens,11364,"201-02 53 AVENUE, Queens 11364",40.74839,-73.77656
P.S. 169 - QUEENS,Q,25,WATER PENETRATION,590000,CIP,Q169,18-25 212 STREET,Queens,11360,"18-25 212 STREET, Queens 11360",40.78233,-73.77843
P.S. 174 - QUEENS,Q,28,FY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG,351000,CIP,Q174,65-10 DIETERLE CRESCENT,Queens,11374,"65-10 DIETERLE CRESCENT, Queens 11374",40.7206,-73.86143
Q177 SPED - QUEENS,Q,26,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,7221000,CIP,Q177,56-37 188 STREET,Queens,11365,"56-37 188 STREET, Queens 11365",40.74358679,-73.78792244
THE SCHOLARS ACADEMY - QUEENS,Q,27,SANDY:AC/FLOOD/ELEC/HEAT/INTER/NON-SANDY:CLIM CTRL,13563283,CIP,Q180,320 BEACH 104 STREET,Queens,11694,"320 BEACH 104 STREET, Queens 11694",40.58408,-73.82556
P.S. 181 - QUEENS,Q,29,FLOORS & WALLS/ROOFS/PARAPETS/EXT MASONRY/FLOOD,4848000,CIP,Q181,148-15 230 STREET,Queens,11413,"148-15 230 STREET, Queens 11413",40.656165,-73.753354
P.S. 184 - QUEENS,Q,25,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5631800,CIP,Q184,163-15 21 ROAD,Queens,11357,"163-15 21 ROAD, Queens 11357",40.77812125,-73.8000664
THE FLUSHING INTERNATIONAL HS,Q,25,FY14 RESO A ROOM CONVERSIONS/PART,387500,CIP,Q189,144-80 BARCLAY AVENUE,Queens,11355,"144-80 BARCLAY AVENUE, Queens 11355",40.75763,-73.82797
J.H.S. 190 - QUEENS,Q,28,FY15 RESO A ROOM CONVERSIONS/PARITTIONING,304000,CIP,Q190,68-17 AUSTIN STREET,Queens,11375,"68-17 AUSTIN STREET, Queens 11375",40.72278621,-73.85180117
P.S. 191 - QUEENS,Q,26,LIGHTING REPLACEMENT,579750,CIP,Q191,85-15 258 STREET,Queens,11001,"85-15 258 STREET, Queens 11001",40.729072,-73.707099
P.S. 193 - QUEENS,Q,25,WATER PENETRATION,737000,CIP,Q193,152-20 11 AVENUE,Queens,11357,"152-20 11 AVENUE, Queens 11357",40.78936768,-73.80201721
J.H.S. 194 - QUEENS,Q,25,FY16 RESO A LIBRARY UPGRADE,239900,CIP,Q194,154-60 17 AVENUE,Queens,11357,"154-60 17 AVENUE, Queens 11357",40.78322,-73.80697
J.H.S. 194 - QUEENS,Q,25,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,6795000,CIP,Q194,154-60 17 AVENUE,Queens,11357,"154-60 17 AVENUE, Queens 11357",40.78322,-73.80697
P.S. 196 - QUEENS,Q,28,FY12 RESO A AUDITORIUM UPGRADE,999786,CIP,Q196,71-25 113 STREET,Queens,11375,"71-25 113 STREET, Queens 11375",40.72276,-73.83738
P.S. 333 - QUEENS,Q,27,NEW A/C CHILLERS,1278870.32,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,"3-65 BEACH 56 STREET, Queens 11692",40.59031347,-73.78555674
P.S. 333 - QUEENS,Q,27,REINFORCING/HEATING PLT/ELEC/FLOOD ELIM/CLIMATE CO,12990000,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,"3-65 BEACH 56 STREET, Queens 11692",40.59031347,-73.78555674
P.S. 205 - QUEENS,Q,26,LIGHTING REPLACEMENT,790797,CIP,Q205,75-25 BELL BLVD,Queens,11364,"75-25 BELL BLVD, Queens 11364",40.738,-73.75638
P.S. 214 - QUEENS,Q,25,PARAPETS/FLOOD/EXT MASONRY/ROOFS,6786000,CIP,Q214,31-15 140 STREET,Queens,11354,"31-15 140 STREET, Queens 11354",40.77018,-73.8277
P.S. 215 - QUEENS,Q,27,FIRE ALARM,1213000,CIP,Q215,535 BRIAR PLACE,Queens,11691,"535 BRIAR PLACE, Queens 11691",40.59956,-73.7582
I.S. 217 - QUEENS,Q,28,FY15 RESO A SCIENCE LAB UPGRADE,417473,CIP,Q217,85-05 144 STREET,Queens,11435,"85-05 144 STREET, Queens 11435",40.71037,-73.81147
P.S. 223 - QUEENS,Q,27,WINDOWS/EXT MASONRY/PARAPETS,4565000,CIP,Q223,125-20 SUTPHIN BLVD,Queens,11434,"125-20 SUTPHIN BLVD, Queens 11434",40.67397729,-73.7889017
P.S. 317 - QUEENS,Q,27,SANDY: HEAT/FLOOD/ELEC/INTERIOR/NON-SANDY: CLIMATE,6339000,CIP,Q225,1-90 BEACH 110 STREET,Queens,11694,"1-90 BEACH 110 STREET, Queens 11694",40.58297843,-73.82240947
I.S. 226 - QUEENS,Q,27,PUBLIC ADDRESS SYSTEM,1054000,CIP,Q226,121-10 ROCKAWAY BOULEVARD,Queens,11420,"121-10 ROCKAWAY BOULEVARD, Queens 11420",40.67571538,-73.81697239
I.S. 226 - QUEENS,Q,27,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,3960000,CIP,Q226,121-10 ROCKAWAY BOULEVARD,Queens,11420,"121-10 ROCKAWAY BOULEVARD, Queens 11420",40.67571538,-73.81697239
P.S. 242 - QUEENS,Q,25,FLOOD ELIMINATION/ROOFING,983000,CIP,Q242,29-66 137TH STREET,Queens,11354,"29-66 137TH STREET, Queens 11354",40.76977,-73.83198
P.S. / I.S. 270 - QUEENS,Q,29,DEFECTIVE PARAPETS/EXT MASONRY/ROOFS,5347000,CIP,Q270,233-15 MERRICK BLVD,Queens,11422,"233-15 MERRICK BLVD, Queens 11422",40.675046,-73.736191
AUGUST MARTIN HS - QUEENS,Q,27,RENEWAL SCHOOL BASED HEALTH CENTER,1682000,CIP,Q400,156-10 BAISLEY BLVD,Queens,11434,"156-10 BAISLEY BLVD, Queens 11434",40.67406,-73.78274
BAYSIDE HIGH SCHOOL - QUEENS,Q,26,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,853000,CIP,Q405,32-24 CORPORAL KENNEDY STREET,Queens,11361,"32-24 CORPORAL KENNEDY STREET, Queens 11361",40.77185877,-73.78041037
BEACH CHANNEL HS - QUEENS,Q,27,SANDY FIRE ALARM/SANDY PA SYSTEM,8947000,CIP,Q410,100-00 BEACH CHANNEL DRIVE,Queens,11694,"100-00 BEACH CHANNEL DRIVE, Queens 11694",40.58615,-73.82502
BEACH CHANNEL HS - QUEENS,Q,27,SANDY:HEATING/ELEC/FLOOD/CLIMATE/PIPING/INT/GENERA,22190800,CIP,Q410,100-00 BEACH CHANNEL DRIVE,Queens,11694,"100-00 BEACH CHANNEL DRIVE, Queens 11694",40.58615,-73.82502
BEACH CHANNEL HS - QUEENS,Q,27,SANDY REPAIRS-ATHLETIC FIELD,2997608.56,CIP,Q411,100-00 BEACH CHANNEL DRIVE,Queens,11694,"100-00 BEACH CHANNEL DRIVE, Queens 11694",40.58615,-73.82502
BENJAMIN N. CARDOZO HS - QUEEN,Q,26,ATHLETIC FIELDS/TCU REMOVAL & PLAYGROUND REDEVELOP,7897628,CIP,Q415,57-00 223 STREET,Queens,11364,"57-00 223 STREET, Queens 11364",40.75234014,-73.75607296
BENJAMIN N. CARDOZO HS - QUEEN,Q,26,WATER PENETRATION THROUGH FOUNDATION,336289,CIP,Q415,57-00 223 STREET,Queens,11364,"57-00 223 STREET, Queens 11364",40.75234014,-73.75607296
EXCELSIOR PREP HIGH SCHOOL - Q,Q,29,EXT MASONRY/ROOFS/PAVED AREA-CONCRETE,6980000,CIP,Q420,143-10 SPRINGFIELD BLVD,Queens,11413,"143-10 SPRINGFIELD BLVD, Queens 11413",40.66822169,-73.75687066
PREPARATORY ACADEMY FOR WRITER,Q,29,REPAVING PARKING LOT,8743648,CIP,Q421,143-10 SPRINGFIELD BLVD,Queens,11413,"143-10 SPRINGFIELD BLVD, Queens 11413",40.66822169,-73.75687066
FRANCIS LEWIS HS - QUEENS,Q,26,WATER PENETRATION,1469000,CIP,Q430,58-20 UTOPIA PKWY,Queens,11365,"58-20 UTOPIA PKWY, Queens 11365",40.74054662,-73.79287431
FOREST HILLS H.S.,Q,28,CONCRETE PAVED AREAS,3463000,CIP,Q440,67-01 110 STREET,Queens,11375,"67-01 110 STREET, Queens 11375",40.72939201,-73.84558363
FOREST HILLS HS - QUEENS,Q,28,CONCRETE RETAINING WALL,6484000,CIP,Q441,67-01 110 STREET,Queens,11375,"67-01 110 STREET, Queens 11375",40.72939201,-73.84558363
WILLIAM C. BRYANT HS - QUEENS,Q,30,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,2499000,CIP,Q445,48-10 31 AVENUE,Queens,11103,"48-10 31 AVENUE, Queens 11103",40.75707,-73.91116
LONG ISLAND CITY HS - Q,Q,30,FIRE ALARM SYSTEM/BUILDING MGMT SYSTEM,18432800,CIP,Q452,14-30 BROADWAY,Queens,11106,"14-30 BROADWAY, Queens 11106",40.76576174,-73.93276812
FLUSHING HS - QUEENS,Q,25,FY15 RESO A AUDITORIUM UPGRADE,451000,CIP,Q460,35-01 UNION STREET,Queens,11354,"35-01 UNION STREET, Queens 11354",40.76487,-73.8268
AVIATION HS - QUEENS,Q,24,FUEL FIRE/ROOFS/PARAPETS/MASONRY/FLOOD/GYM UPG/WIN,17941252,CIP,Q610,45-30 36 STREET,Queens,11101,"45-30 36 STREET, Queens 11101",40.74358477,-73.92910561
AVIATION HS - QUEENS,Q,24,FY16 RESO A ROOM CONVERSIONS / PART,146000,CIP,Q610,45-30 36 STREET,Queens,11101,"45-30 36 STREET, Queens 11101",40.74358477,-73.92910561
P.S. 16 - QUEENS,Q,24,FY15 RESO A AUDITORIUM UPGRADE,378700,CIP,Q721,41-15 104 STREET,Queens,11368,"41-15 104 STREET, Queens 11368",40.74898,-73.86053
Q721 SPED - QUEENS,Q,24,FY16 RESO A AUDITORIUM UPGRADE,160113,CIP,Q722,57-12 94TH STREET,Queens,11373,"57-12 94TH STREET, Queens 11373",40.7359563,-73.86750856
P.S. 106 - QUEENS,Q,27,DEMOLITION & PAVED AREA/TCU REMOVAL PLAYGROUND RED,2482000,CIP,Q806,180 BEACH 35 STREET,Queens,11691,"180 BEACH 35 STREET, Queens 11691",40.594781,-73.766879
Q811 SPED - QUEENS,Q,26,LL 41/16 COMPLIANCE,747000,CIP,Q811,61-25 MARATHON PKWY,Queens,11362,"61-25 MARATHON PKWY, Queens 11362",40.75676158,-73.72941367
P.S. 65 - QUEENS,Q,27,FY16RESO A LIBRARY UPGRADE,497898,CIP,Q884,103-22 99TH STREET,Queens,11417,"103-22 99TH STREET, Queens 11417",40.68253,-73.84145
P.S. 43 - QUEENS,Q,27,SANDY INTERIOR SPACES/SANDY FLOOD ELIMINATION,3290000,CIP,Q907,12 MARVIN STREET,Queens,11691,"12 MARVIN STREET, Queens 11691",40.59286847,-73.76027446
P.S. 1 - STATEN ISLAND,R,31,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,11891000,CIP,R001,58 SUMMIT STREET,Staten Island,10307,"58 SUMMIT STREET, Staten Island 10307",40.508638,-74.243949
I.S. 7 - STATEN ISLAND,R,31,FY16 RESO A ROOM CONVERSIONS / PART,212500,CIP,R007,1270 HUGUENOT AVENUE,Staten Island,10312,"1270 HUGUENOT AVENUE, Staten Island 10312",40.52331,-74.18592
P.S. 078 - STATEN ISLAND,R,31,FY16 RESO A AUDITORIUM UPGRADE,235200,CIP,R014,100 TOMPKINS AVENUE,Staten Island,10304,"100 TOMPKINS AVENUE, Staten Island 10304",40.62242,-74.07923
P.S. 19 - STATEN ISLAND,R,31,PARAPETS/FLOOD/AREAWAY WINDOWS/EXT MASONRY,4814365.81,CIP,R019,780 POST AVENUE,Staten Island,10310,"780 POST AVENUE, Staten Island 10310",40.630563,-74.126888
P.S. 29 - STATEN ISLAND,R,31,EXTERIOR MASONRY/ROOFS/PARAPETS,3790030,CIP,R029,1581 VICTORY BLVD,Staten Island,10314,"1581 VICTORY BLVD, Staten Island 10314",40.61404,-74.116199
P.S. 30 - STATEN ISLAND,R,31,FY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,534941,CIP,R030,200 WARDWELL AVE,Staten Island,10314,"200 WARDWELL AVE, Staten Island 10314",40.6181,-74.13308
I.S. 34 - STATEN ISLAND,R,31,FULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,11177000,CIP,R034,528 ACADEMY AVE,Staten Island,10307,"528 ACADEMY AVE, Staten Island 10307",40.507771,-74.24362
P.S. 35 - STATEN ISLAND,R,31,FY14 RESO A ATHLETIC FIELDS,1280000,CIP,R035,60 FOOTE AVENUE,Staten Island,10301,"60 FOOTE AVENUE, Staten Island 10301",40.61358,-74.09896
P.S. 35 - STATEN ISLAND,R,31,HEATING PLANT/CLIMATE CONTROL,3738000,CIP,R035,60 FOOTE AVENUE,Staten Island,10301,"60 FOOTE AVENUE, Staten Island 10301",40.61358,-74.09896
P.S. 41 - STATEN ISLAND,R,31,MAIN ELECTRICAL SERVICE/LOW VOLTAGE ELEC SYSTEM,1649000,CIP,R041,216 CLAWSON STREET,Staten Island,10306,"216 CLAWSON STREET, Staten Island 10306",40.57392,-74.10908
CSI HS FOR INTERNATIONAL STUDI,R,31,PLAYGROUND REDEVELOPMENT,2923000,CIP,R043,100 ESSEX DRIVE,Staten Island,10314,"100 ESSEX DRIVE, Staten Island 10314",40.581363,-74.159537
P.S. 44 - STATEN ISLAND,R,31,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,9777000,CIP,R044,80 MAPLE PARKWAY,Staten Island,10303,"80 MAPLE PARKWAY, Staten Island 10303",40.63168,-74.15732
P.S. 44 - STATEN ISLAND,R,31,REPAIR-CERTIFICATE OF OCCUPANCY,1270000,CIP,R044,80 MAPLE PARKWAY,Staten Island,10303,"80 MAPLE PARKWAY, Staten Island 10303",40.63168,-74.15732
P.S. 45 - STATEN ISLAND,R,31,ROOFS/PARAPETS /EXTERIOR MASONRY/FLOOD ELIMINATION,11349891,CIP,R045,58 LAWRENCE AVENUE,Staten Island,10310,"58 LAWRENCE AVENUE, Staten Island 10310",40.62842,-74.10729
P.S. 48 - STATEN ISLAND,R,31,RETAINING WALL,464786,CIP,R048,1055 TARGEE STREET,Staten Island,10304,"1055 TARGEE STREET, Staten Island 10304",40.60259,-74.09033
P.S. 50 - STATEN ISLAND,R,31,FY16 RESO A PLAYGROUND REDEVELOPMEN,329000,CIP,R050,200 ADELAIDE AVENUE,Staten Island,10306,"200 ADELAIDE AVENUE, Staten Island 10306",40.560923,-74.12424
P.S. 52 - STATEN ISLAND,R,31,REPAIR-C OF O/SANDY-FLOOD/SAFETY/HEAT/VENT/INT/ELE,16941000,CIP,R052,450 BUEL AVENUE,Staten Island,10305,"450 BUEL AVENUE, Staten Island 10305",40.58255,-74.08901
I.S. 72 - STATEN ISLAND,R,31,FY16 RESO A AUDITORIUM UPGRADE,184000,CIP,R072,33 FERNDALE AVENUE,Staten Island,10314,"33 FERNDALE AVENUE, Staten Island 10314",40.59276,-74.15863
NEW DORP HS - STATEN ISLAND,R,31,FY14 RESO A AUDITORIUM UPGRADE,724800,CIP,R435,465 NEW DORP LANE,Staten Island,10306,"465 NEW DORP LANE, Staten Island 10306",40.56913508,-74.10713836
CURTIS HS - STATEN ISLAND,R,31,BRIDGE & REPAIR WK/PARAPETS/WASTE SYS/WINDOWS/ROOF,12443000,CIP,R450,105 HAMILTON AVENUE,Staten Island,10301,"105 HAMILTON AVENUE, Staten Island 10301",40.64528,-74.08146
TOTTENVILLE HS - STATEN ISLAND,R,31,FY 16 RESO A WIRING UPGRADE,1335000,CIP,R455,100 LUTEN AVENUE,Staten Island,10312,"100 LUTEN AVENUE, Staten Island 10312",40.528303,-74.193519
RALPH MCKEE VOC HS - S. I.,R,31,FY16 RESO A ROOM CONVERSIONS,226260,CIP,R600,290 ST MARKS PLACE,Staten Island,10301,"290 ST MARKS PLACE, Staten Island 10301",40.64292,-74.07898
P.S. 80 - STATEN ISLAND,R,31,GAS SERVICE,220108,CIP,R880,715 OCEAN TERRACE,Staten Island,10301,"715 OCEAN TERRACE, Staten Island 10301",40.608273,-74.105907
P.S. 80 - STATEN ISLAND,R,31,PAVED AREAS,2856387.3,CIP,R885,715 OCEAN TERRACE,Staten Island,10301,"715 OCEAN TERRACE, Staten Island 10301",40.608273,-74.105907
P.S. 9 - BRONX,X,10,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,6542000,CIP,X009,230 EAST 183 STREET,Bronx,10458,"230 EAST 183 STREET, Bronx 10458",40.8571832,-73.89939833
P.S. 25 - BRONX,X,7,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,11840000,CIP,X025,811 EAST 149 STREET,Bronx,10455,"811 EAST 149 STREET, Bronx 10455",40.81271,-73.90573
P.S. 396 - BRONX,X,10,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,5386000,CIP,X026,1930 ANDREWS AVENUE,Bronx,10453,"1930 ANDREWS AVENUE, Bronx 10453",40.85457,-73.91314
P.S. 32 - BRONX,X,10,EXTERIOR MASONRY/WINDOWS/PARAPETS,6239400,CIP,X032,690 EAST 183 STREET,Bronx,10458,"690 EAST 183 STREET, Bronx 10458",40.85200285,-73.88572072
P.S. 33 - BRONX,X,10,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,4829000,CIP,X033,2424 JEROME AVENUE,Bronx,10468,"2424 JEROME AVENUE, Bronx 10468",40.86226476,-73.90171606
P.S. 36 - BRONX,X,8,EXT MASONRY/ROOFS/PARAPETS/WINDOWS/EXT DOORS/FLOOD,12843000,CIP,X036,1070 CASTLE HILL AVENUE,Bronx,10472,"1070 CASTLE HILL AVENUE, Bronx 10472",40.829468,-73.849823
P.S. 47 - BRONX,X,12,ROOFS/PARAPETS/MASONRY/FLOOD,9142000,CIP,X047,1794 EAST 172 STREET,Bronx,10472,"1794 EAST 172 STREET, Bronx 10472",40.83253,-73.86697
P.S. 48 - BRONX,X,8,FULL ACCESSIBILITY,9100000,CIP,X048,1290 SPOFFORD AVENUE,Bronx,10474,"1290 SPOFFORD AVENUE, Bronx 10474",40.81442567,-73.88672501
